Name,Size,Room,Fee,Endprice,KvMPrice,Saledate,City,District,TypeOfProperty
Hantverksgatan 12,144.0,7,,2225000,,2023-09-28,Osby kommun,Osby,Villa
Midsommarvägen 93,103.7,"4,5",6527,3200000,30858,2023-09-28,Huddinge kommun,Vista,Radhus
Albatrossvägen 151,69.8,3,3565,2350000,33668,2023-09-28,Haninge kommun,Österhaninge,Lägenhet
Vallhovsvägen 42A,110.0,4,,1525000,,2023-09-28,Sandvikens kommun,Vallhov,Radhus
Erik Wästvägen 14,83.0,3,,2700000,,2023-09-28,Härryda kommun,Hindås,Radhus
Gröna gatan 65,84.3,3,5517,3100000,36773,2023-09-28,Göteborgs kommun,Majorna,Lägenhet
Edla Sofias Gata 14,65.0,3,4076,3170000,48769,2023-09-28,Värmdö kommun,Porslinskvarteren,Lägenhet
Banérgatan 14A,108.5,5,5886,4795000,44194,2023-09-28,Uppsala kommun,Kåbo,Lägenhet
Böketoftavägen 167,76.0,5,,1300000,,2023-09-28,Bjuvs kommun,Billesholm,Villa
Nytorpsvägen 13,110.0,4,4300,3400000,30909,2023-09-28,Staffanstorps kommun,Hjärup,Radhus
Fallskärmsgatan 1,45.7,1,3319,2000000,43764,2023-09-28,Stockholms kommun,Skarpnäck,Lägenhet
Nosabyvägen 216,109.0,3,,1760000,,2023-09-28,Kristianstads kommun,Nosaby,Villa
Älvsborgsgatan 36A,39.0,1,2351,2600000,66667,2023-09-28,Göteborgs kommun,Kungsladugård,Lägenhet
Johanneshöjden 2,90.0,3,5025,2100000,23333,2023-09-28,Västerås kommun,Karlsdal,Lägenhet
Mårtensgatan 6 B,75.5,3,4180,950000,12583,2023-09-28,Ljusdals kommun,Ljusdal,Lägenhet
Barrvägen 32A,1.0,068,,2600000,,2023-09-28,Laholms kommun,Skummeslövsstrand,Tomt
Källängsvägen 69,70.0,3,3769,3780000,54000,2023-09-28,Lidingö kommun,Näset,Lägenhet
Trådgränd 11A,35.0,1,3898,1285000,36714,2023-09-28,Malmö kommun,Hyllie,Lägenhet
Doktor Ströms väg 1H,98.0,4,5097,1800000,18367,2023-09-28,Eslövs kommun,Eslöv Sallerup,Radhus
Branteviksgatan 28,79.5,3,4675,1830000,23019,2023-09-28,Malmö kommun,Östra Sorgenfri,Lägenhet
Blåeldsgatan 34,102.0,4,,5150000,,2023-09-28,Göteborgs kommun,Grimmered,Radhus
Stensbergsvägen 40A,59.0,2,3813,1050000,17797,2023-09-28,Kalmar kommun,Södra området,Lägenhet
"Norrbyvägen 16, 3 tr.",34.0,2,3082,2050000,60294,2023-09-28,Stockholms kommun,Bromma / Ulvsunda,Lägenhet
Kvinnebyvägen 114,150.0,5,,4150000,,2023-09-28,Linköpings kommun,Hjulsbro,Villa
Åsvägen 11,93.0,4,,4000000,,2023-09-28,Botkyrka kommun,Uttran,Villa
Annebergsgatan 8C,81.5,3,5019,2000000,24540,2023-09-28,Malmö kommun,Borgmästaregården,Lägenhet
Kindstrandsgatan 18 J,52.0,2,3300,825000,15865,2023-09-28,Sölvesborgs kommun,Centralt,Lägenhet
Vinbärsvägen 235E,80.0,3,5308,995000,12438,2023-09-28,Gävle kommun,Sätra,Radhus
Föreningsgatan 1E,54.0,2,4026,2250000,41667,2023-09-28,Strängnäs kommun,Mariefred,Lägenhet
Stampens väg 1,140.0,4,,3000000,,2023-09-28,Falkenbergs kommun,Slätten,Villa
"Havrevägen 2, 5tr",90.0,3,5688,2000000,22222,2023-09-28,Botkyrka kommun,Botkyrka-Hallunda,Lägenhet
Trandaredsgatan 31,25.4,1,1538,510000,20079,2023-09-28,Borås kommun,Trandared,Lägenhet
Brunnsgatan 58 B,48.1,2,2836,1530000,31809,2023-09-28,Gävle kommun,Centralt,Lägenhet
Stinsgatan 2,70.0,2,3705,1500000,21429,2023-09-28,Karlstads kommun,Viken,Lägenhet
Rustmästaregatan 29,67.0,2,3721,2370000,35373,2023-09-28,Göteborgs kommun,Kviberg,Lägenhet
Slottsgatan 24,65.5,2,2832,2050000,31298,2023-09-28,Jönköpings kommun,Jönköping Öster,Lägenhet
Nackstavägen 54C,74.0,3,5440,395000,5338,2023-09-28,Sundsvalls kommun,Nacksta,Lägenhet
Västra Bangatan 65B,77.0,3,4715,1840000,23896,2023-09-28,Sigtuna kommun,Centrala Märsta,Lägenhet
Tibastvägen 7,114.0,5,,5100000,,2023-09-28,Stockholms kommun,Hässelby - Södra Villastad,Villa
Ersbodavägen 142,82.5,3,5326,1550000,18788,2023-09-28,Umeå kommun,Ersboda,Lägenhet
Pressarevägen 32,127.0,4,,4900000,,2023-09-28,Stenungsunds kommun,Stenungsund - Tätort,Villa
Tärnvägen 8A,73.0,3,4173,2780000,38082,2023-09-28,Lunds kommun,Väster,Lägenhet
Sankt Petri Kyrkogata 5,126.0,5,6897,6700000,53175,2023-09-28,Lunds kommun,Centrum,Lägenhet
Kasevägen 9,156.0,5,,5600000,,2023-09-28,Strömstads kommun,Seläter/kebal,Villa
Tengdahlsgatan 35,98.0,4,6030,8400000,85714,2023-09-28,Stockholms kommun,Södermalm,Lägenhet
"Kronobergsgatan 7, 3tr",36.0,1,1714,3600000,100000,2023-09-28,Stockholms kommun,Kungsholmen,Lägenhet
Perstorpsvägen 14,76.0,3,4420,2700000,35526,2023-09-28,Kalmar kommun,Oxhagen,Lägenhet
Järsnäs Hjortebo 1,40.0,3,,730000,,2023-09-28,Jönköpings kommun,Järsnäs,Fritidshus
Garagevägen 21,78.0,3,4552,5605000,71859,2023-09-28,Stockholms kommun,Blåsut,Lägenhet
Thulegatan 32,95.0,4,5110,2450000,25789,2023-09-28,Sundsvalls kommun,Södermalm,Lägenhet
Abrahamsbergsvägen 19,48.0,2,2585,3045000,63438,2023-09-28,Stockholms kommun,Bromma - Abrahamsberg,Lägenhet
Westerdahlsvägen 11,115.0,4,7256,4250000,36957,2023-09-28,Salems kommun,Rönninge,Lägenhet
Ringtonsgränden 2,89.0,3,5745,4395000,49382,2023-09-28,Lunds kommun,Brunnshög,Lägenhet
Masthuggstorget 5,65.5,2,4312,2800000,42748,2023-09-28,Göteborgs kommun,Masthugget,Lägenhet
Dalbogatan 3c,56.5,2,2675,2000000,35398,2023-09-28,Mölndals kommun,Krokslätt,Lägenhet
Släktledsgatan 7,78.0,6,,4750000,,2023-09-28,Göteborgs kommun,Centrala Hisingen,Villa
Stödjegränd 42,63.5,2,4492,900000,14173,2023-09-28,Örebro kommun,Solhaga,Lägenhet
Nydalavägen 14,73.5,3,4016,2260000,30748,2023-09-28,Umeå kommun,Berghem,Lägenhet
Cronhielms Allé 33,43.5,2,2718,2900000,66667,2023-09-28,Solna kommun,Ulriksdal,Lägenhet
Gamlestadstorget 16,56.0,2,4210,2065000,36875,2023-09-28,Göteborgs kommun,Gamlestaden,Lägenhet
Klövervägen 7,134.0,6,,5000000,,2023-09-28,Järfälla kommun,Viksjö,Radhus
Knotavägen 30,88.5,3,6091,825000,9322,2023-09-28,Västerås kommun,Bjurhovda,Lägenhet
Ormbergsgränd 16,127.0,7,,835000,,2023-09-28,Fagersta kommun,Kolarbyn,Radhus
Munkegärdegatan 199,66.5,2,4059,2075000,31203,2023-09-28,Kungälvs kommun,Munkegärde,Lägenhet
Granbacksvägen 35,115.0,5,5361,2940000,25565,2023-09-28,Håbo kommun,Bålsta Frösundavik,Radhus
Tegnebyvägen 7,71.0,6,,6400000,,2023-09-28,Stockholms kommun,Bromma - Norra Ängby,Villa
Odlingsgatan 66,78.0,4,5165,2695000,34551,2023-09-28,Kungälvs kommun,Ytterby,Lägenhet
Viktoriagatan 20C,71.6,2,4172,2300000,32123,2023-09-28,Trosa kommun,Trosa Centralt,Lägenhet
Ragnvallagatan 30B,67.0,2,4615,830000,12388,2023-09-28,Helsingborgs kommun,Ragnvalla,Lägenhet
Stockholmsvägen 13A,53.5,2,3246,1000000,18692,2023-09-28,Nyköpings kommun,Centralt Öster,Lägenhet
Torggatan 23B,43.5,1,2963,805000,18506,2023-09-28,Rättviks kommun,Centrum,Lägenhet
Vasagatan 26A,28.5,1,1181,1150000,40351,2023-09-28,Västerås kommun,Centralt,Lägenhet
Lillkullegatan 31,78.0,2,5067,4660000,59744,2023-09-28,Göteborgs kommun,Örgryte Bö,Lägenhet
Styvervägen 11,129.0,6,,3675000,,2023-09-28,Karlstads kommun,Henstad,Villa
Storgatan 28B,53.1,2,2338,920000,17326,2023-09-28,Ljungby kommun,Centralt,Lägenhet
Hallavägen 37,104.0,4,,2675000,,2023-09-28,Halmstads kommun,Gullbrandstorp,Villa
"Pettersbergsvägen 4, vån 6 / 6",73.5,3,4535,3350000,45578,2023-09-28,Upplands-Bro kommun,Norrboda,Lägenhet
Österbergbygatan 19,92.0,4,,1350000,,2023-09-28,Sandvikens kommun,Storvik,Villa
Johannesbäcksgatan 32B,75.0,3,3421,1825000,24333,2023-09-28,Uppsala kommun,Salabacke,Lägenhet
Folkungagatan 38B,59.5,2,3154,1550000,26050,2023-09-28,Örebro kommun,Centralt Väster,Lägenhet
Nyckelbergsvägen 63B,67.5,3,4617,740000,10963,2023-09-28,Köpings kommun,Nyckelberget,Lägenhet
Grönviken 102,60.0,2,,2700000,,2023-09-28,Sundsvalls kommun,Alnö,Villa
Toffelmakarbacken 79-0,2.0,2,,290000,,2023-09-28,Åstorps kommun,Kvidinge,Fritidshus
Mariagatan 4,42.0,1,2499,395000,9405,2023-09-28,Gävle kommun,Forsbacka,Lägenhet
John bergs plan 2,38.0,1,1820,3100000,81579,2023-09-28,Stockholms kommun,Kungsholmen,Lägenhet
Ytterån 536,91.0,6,,2600000,,2023-09-28,Krokoms kommun,Ytterån,Villa
Lärkvägen 7,80.0,4,,1655000,,2023-09-28,Västerås kommun,Skultuna,Villa
Rektorsgatan 3,60.0,2,5017,1820000,30333,2023-09-28,Helsingborgs kommun,Slottshöjden,Lägenhet
Ornövägen 6,103.0,4,6361,3400000,33010,2023-09-28,Nacka kommun,Västra Orminge,Lägenhet
Erikslundsvägen 50,126.0,5,,5350000,,2023-09-28,Täby kommun,Erikslund,Radhus
"Norr Mälarstrand 18, vån 5",199.0,"6,5",6015,27500000,138191,2023-09-28,Stockholms kommun,Kungsholmen - Norr Mälarstrand,Lägenhet
Vindögats väg 12B,109.0,5,5207,3750000,34404,2023-09-28,Malmö kommun,Västra Klagstorp,Radhus
Torsten Fogelqvists gata 31,96.0,4,,1900000,,2023-09-28,Norrköpings kommun,Klockaretorpet,Radhus
Vendelsömalmsvägen 231,94.0,4,6377,2225000,23670,2023-09-28,Haninge kommun,Vendelsö,Lägenhet
Kungsgatan 43B,89.0,3,6938,3800000,42697,2023-09-28,Alingsås kommun,Alingsås Centralt,Lägenhet
Tossebergsgatan 2,95.0,4,,1350000,,2023-09-28,Alingsås kommun,Sollebrunn,Villa
Fleminggatan 63,41.0,2,2193,3995000,97439,2023-09-28,Stockholms kommun,Kungsholmen,Lägenhet
Besmansvägen 8,74.0,3,6081,4400000,59459,2023-09-28,Stockholms kommun,Abrahamsberg / Åkeslund,Lägenhet
Husarviksgatan 16,132.0,4,5988,15000000,113636,2023-09-28,Stockholms kommun,Norra Djurgårdsstaden,Lägenhet
Boanäs 11,1.0,945,,350000,,2023-09-28,Borås kommun,Dannike,Tomt
Mogatan 79,98.5,4,6786,4100000,41624,2023-09-28,Mölndals kommun,Mölndal - Stensjön,Lägenhet
Duvvägen 20,138.0,5,,1910000,,2023-09-28,Kiruna kommun,Sandstensberget,Villa
S:t Göransgatan 1 F,79.5,3,4585,5800000,72956,2023-09-28,Gotlands kommun,Visby - Strandgärdet,Lägenhet
Pontonjärgatan 47,59.0,2,3360,6450000,109322,2023-09-28,Stockholms kommun,Kungsholmen,Lägenhet
Snövägen 98,75.5,3,3593,1450000,19205,2023-09-28,Luleå kommun,Björkskatan,Lägenhet
Runvägen 1C,37.0,1,2686,435000,11757,2023-09-28,Bollnäs kommun,Ren,Lägenhet
Plattsättargränd 3,75.0,4,,120000,,2023-09-28,Strömsunds kommun,Strömsund,Villa
Bomansgatan 22D,49.5,2,3454,1575000,31818,2023-09-28,Västerås kommun,Kristiansborg,Lägenhet
Piparens Gata 3,103.0,4,5982,3025000,29369,2023-09-28,Karlstads kommun,Södra Råtorp,Lägenhet
Allétorget 2,34.0,1,2558,1550000,45588,2023-09-28,Malmö kommun,Hyllie,Lägenhet
Hede 121,86.0,6,,2795000,,2023-09-28,Lilla Edets kommun,Lödöse,Villa
Formarstigen 8,75.0,3,4504,5110000,68133,2023-09-28,Värmdö kommun,Gustavsberg Höjdhagen,Lägenhet
Brommagatan 15,61.0,2,3925,2000000,32787,2023-09-28,Helsingborgs kommun,Tågaborg,Lägenhet
Tallsätravägen 15B,76.5,3,4755,3625000,47386,2023-09-28,Salems kommun,Rönninge,Lägenhet
Skridskovägen 9D,84.0,4,5372,6000000,71429,2023-09-28,Stockholms kommun,Västertorp,Lägenhet
Gimogatan 6 B,55.0,2,3486,1995000,36273,2023-09-28,Uppsala kommun,Norra Luthagen,Lägenhet
Hennan Storsjövägen 4,150.0,4,,720000,,2023-09-28,Hennan,Ramsjö,Villa
Björksätersgatan 4,76.0,3,5157,700000,9211,2023-09-28,Borås kommun,Sjöbo,Lägenhet
Linnés gata 13,91.0,5,,2100000,,2023-09-28,Ängelholms kommun,Munka-ljungby,Villa
Östansjö 133,117.0,5,,1995000,,2023-09-28,Sundsvalls kommun,Matfors,Villa
Jättegrytsgatan 2A,71.0,"2,5",3958,3900000,54930,2023-09-28,Göteborgs kommun,Örgryte Jakobsdal,Lägenhet
Gustavsgatan 17C,81.5,3,4859,610000,7485,2023-09-28,Karlskoga kommun,Centralt,Lägenhet
Torstebodavägen 8,95.0,5,,1000000,,2023-09-28,Karlshamns kommun,Mörrum,Villa
Aroseniusvägen 38,192.0,7,,13550000,,2023-09-28,Stockholms kommun,Bromma - Södra Ängby,Villa
Ålgrytevägen 77,67.0,"2,5",5367,1900000,28358,2023-09-28,Stockholms kommun,Bredäng,Lägenhet
Evenemangsgatan 24,75.0,3,3340,4900000,65333,2023-09-28,Solna kommun,Arenastaden,Lägenhet
"Sankt Göransgatan 153, 4 tr",22.5,1,1176,2250000,100000,2023-09-28,Stockholms kommun,Kungsholmen,Lägenhet
Sundsta Torg,102.0,4,2563,4700000,46078,2023-09-28,Karlstads kommun,Sundsta,Lägenhet
Löpargatan 60C,80.0,3,4795,1895000,23688,2023-09-28,Landskrona kommun,Västra Fäladen,Lägenhet
Skogvaktaregatan 13,51.0,2,3620,560000,10980,2023-09-28,Karlsborgs kommun,Södra Skogen,Lägenhet
"Älvkarleövägen 2, 3 tr!",44.2,2,3172,3275000,74095,2023-09-28,Stockholms kommun,Hjorthagen,Lägenhet
Ytterspåret 15,129.0,5,,6500000,,2023-09-28,Täby kommun,Visinge,Radhus
"Roslagsgatan 23, 4 tr",80.0,3,3255,9400000,117500,2023-09-28,Stockholms kommun,Vasastan - Sibirien,Lägenhet
Vallagränd 12,85.0,4,5575,2900000,34118,2023-09-28,Haninge kommun,Handen,Lägenhet
Tallåsvägen 6,76.1,3,2806,1660000,21813,2023-09-28,Gävle kommun,Stigslund,Lägenhet
Fritzhemsgatan 61A,57.0,2,3457,1300000,22807,2023-09-28,Östersunds kommun,Frösön,Lägenhet
Kihlmansgatan 22B,82.5,3,4342,850000,10303,2023-09-28,Köpings kommun,Skogsbrynet,Lägenhet
Hotellgatan 28,51.0,2,2884,540000,10588,2023-09-28,Centralt,Ljusdal,Lägenhet
Skogsängsvägen 5B,71.5,3,3947,895000,12517,2023-09-28,Karlskoga kommun,Björkborn,Lägenhet
Gruppesvägen 1,74.0,4,,1900000,,2023-09-28,Mora kommun,Vinäs,Villa
Lövskogsgatan 6,85.5,3,5254,850000,9942,2023-09-28,Uddevalla kommun,Dalaberg,Lägenhet
Näsbyvägen 2,35.0,1,3592,2150000,61429,2023-09-28,Täby kommun,Roslags Näsby,Lägenhet
Allvädersgränd 27,160.0,6,,2400000,,2023-09-28,Skellefteå kommun,Moröbacke,Villa
Humlevägen 10C,115.0,5,,3550000,,2023-09-28,Lerums kommun,Hästhagen,Radhus
Andra ringvägen 9,147.0,5,,1700000,,2023-09-28,Ulricehamns kommun,Timmele,Villa
Flöjtgatan 124,113.5,4,5569,1730000,15242,2023-09-28,Karlstads kommun,Kronoparken,Lägenhet
Västanvägen 46,47.0,1,3438,510000,10851,2023-09-28,Borlänge kommun,Åselby,Lägenhet
Stora Norregatan 56,98.0,4,7455,1900000,19388,2023-09-28,Landskrona kommun,Centrum,Lägenhet
"Alphyddevägen 47, 1 tr",60.0,2,3863,3250000,54167,2023-09-28,Nacka kommun,Nacka- Sickla,Lägenhet
Humlevägen 4,24.8,1,1751,1300000,52419,2023-09-28,Jönköpings kommun,Torpa,Lägenhet
Bergsgatan 6,38.0,"1,5",2179,2700000,71053,2023-09-28,Sundbybergs kommun,Centrala Sundbyberg,Lägenhet
Mölndalsvägen 87B,72.0,3,3935,4600000,63889,2023-09-28,Göteborgs kommun,Almedal,Lägenhet
"Celsiusgatan 2, 4 vån av 4",38.0,2,1764,4500000,118421,2023-09-28,Stockholms kommun,Kungsholmen,Lägenhet
Ringvägen 39C,68.0,"2,5",3300,5800000,85294,2023-09-28,Stockholms kommun,Södermalm,Lägenhet
Parkvägen 10,72.5,3,4211,3400000,46897,2023-09-28,Järfälla kommun,Barkarbystaden,Lägenhet
Karmosingatan 13,121.0,5,,5570000,,2023-09-28,Göteborgs kommun,Åkered,Radhus
Krokslättsgatan 22 B,114.0,6,2796,6990000,61316,2023-09-28,Mölndals kommun,Krokslätt,Lägenhet
Krokslättsgatan 22 B,84.0,4,2060,5500000,65476,2023-09-28,Mölndals kommun,Krokslätt,Lägenhet
Krokslättsgatan 22 B,114.0,6,2796,6990000,61316,2023-09-28,Mölndals kommun,Krokslätt,Lägenhet
Krokslättsgatan 22 B,62.4,5,2919,6400000,102564,2023-09-28,Mölndals kommun,Krokslätt,Lägenhet
Krokslättsgatan 22 B,114.0,6,2796,6990000,61316,2023-09-28,Mölndals kommun,Krokslätt,Lägenhet
Krokslättsgatan 22 B,114.0,6,2796,6990000,61316,2023-09-28,Mölndals kommun,Krokslätt,Lägenhet
Strömgatan 14,130.0,5,,2100000,,2023-09-28,Gällivare kommun,Centrala Gällivare,Villa
Bonstorpsvägen 24,126.0,5,,4675000,,2023-09-28,Örebro kommun,Södra Lindhult,Radhus
Hults gata 74,132.0,+32,,7850000,,2023-09-28,Göteborgs kommun,Askim,Radhus
Slottsvägen 36,109.0,5,3490,4900000,44954,2023-09-28,Sollentuna kommun,Edsberg-Landsnora,Radhus
Örtomtaslingan 2,71.0,3,,700000,,2023-09-28,Västerviks kommun,Örbäcken,Villa
Krönvägen 6,164.0,4,,6900000,,2023-09-28,Nacka kommun,Insjön,Villa
Jasminvägen 11A,24.0,2,3124,825000,34375,2023-09-28,,,
Smedtorpsvägen 47,107.0,4,4526,2875000,26869,2023-09-28,Norrtälje kommun,Björnövik,Lägenhet
Albrektsvägen 85,422.0,422,,8750000,,2023-09-28,Norrköpings kommun,Söder,Övrigt
Lasarettsvägen 16,115.0,8,,230000,,2023-09-28,Strömsunds kommun,Backe,Villa
Gethagsvägen 14F,167.0,6,,12950000,,2023-09-28,Danderyds kommun,Enebyberg,Villa
Lingvägen 107,19.0,1,911,1580000,83158,2023-09-28,Stockholms kommun,Enskde - Gubbängen,Lägenhet
Postiljonsvägen 31,53.5,2,1896,3375000,63084,2023-09-28,Stockholms kommun,Svedmyra,Lägenhet
Syrénvägen 6,145.0,6,,2700000,,2023-09-28,Falköpings kommun,Gudhem,Villa
Gudruns Gata 6C,77.1,4,4932,1795000,23281,2023-09-28,Linköpings kommun,Vikingstad,Lägenhet
Rambergsvägen 5B,41.3,1,3218,1700000,41162,2023-09-28,Göteborgs kommun,Centrala Hisingen,Lägenhet
Kallhällsleden 16,57.5,2,4134,1690000,29391,2023-09-28,Järfälla kommun,Kallhäll,Lägenhet
Hagvägen 5B,1.0,008,,750000,,2023-09-28,Borås kommun,Fristad,Tomt
Malmbergsvägen 3,46.0,2,,3220000,,2023-09-28,Huddinge kommun,Gladö Kvarn,Villa
Stenbocksgatan 3A,28.0,1,2398,675000,24107,2023-09-28,Ystads kommun,Edvinshem,Lägenhet
Lunden 430,40.0,3,,730000,,2023-09-28,Åmåls kommun,Ånimskog,Fritidshus
Söderto 3245,215.0,6,,3895000,,2023-09-28,,,
Luthagsesplanaden 24A,45.0,"1,5",2435,1940000,43111,2023-09-28,Uppsala kommun,Främre Luthagen,Lägenhet
Eleonoragatan 7C,46.0,"1,5",2484,1000000,21739,2023-09-28,Eskilstuna kommun,Eskilstuna,Lägenhet
Sibbarp 1:8,,,,,,,,,
Engelbrektsgatan 29,93.0,3,,1395000,,2023-09-28,Bodens kommun,Sanden,Villa
Hagsandsvägen 2,92.0,3,,2000000,,2023-09-28,Ludvika kommun,Grängesberg,Villa
Rödabergsbrinken 16,38.0,2,2366,3975000,104605,2023-09-28,Stockholms kommun,Rödabergen,Lägenhet
"Västra Skrävlingevägen 100, vån 3",42.5,1,2257,795000,18706,2023-09-28,Malmö kommun,Gula Höja,Lägenhet
Ekbacksvägen 42A,701.0,701,,7350000,,2023-09-28,Danderyds kommun,Ekbacken,Tomt
Gribbyvägen 51,86.0,4,,5000000,,2023-09-28,Stockholms kommun,Spånga Flysta,Villa
Lövbrunnavägen 53,170.0,8,,11800000,,2023-09-28,Täby kommun,Lövbrunna,Villa
Ljuskärrsvägen 70,63.0,4,3592,2300000,36508,2023-09-28,Nacka kommun,Ljuskärrsberget,Lägenhet
Kalkugnsvägen 15A,90.0,4,6373,1000000,11111,2023-09-28,Finspångs kommun,Centralt,Lägenhet
Mariagatan 22,130.0,4,,2300000,,2023-09-28,Gävle kommun,Forsbacka,Villa
"Havsfruvägen 4, 1 tr",87.0,4,3966,7850000,90230,2023-09-28,Stockholms kommun,Bromma - Smedslätten,Lägenhet
Torshammarvägen 12A,48.0,2,2420,3100000,64583,2023-09-28,Lidingö kommun,Torsvik,Lägenhet
Gerd Enequists gata 12 A,80.5,3,4548,3345000,41553,2023-09-28,Uppsala kommun,Kåbo,Lägenhet
"Hägerstensvägen 103, vån 2 av 4",65.0,3,3994,5270000,81077,2023-09-28,Stockholms kommun,Aspudden,Lägenhet
Exercisvägen 1B,68.5,2,4465,1325000,19343,2023-09-28,Uddevalla kommun,Centrum,Lägenhet
Skyttelgatan 7,106.0,4,4711,4275000,40330,2023-09-28,Uppsala kommun,Industristaden/Kungsängen,Lägenhet
Skaraborgsvägen 22,68.0,3,5601,189000,2779,2023-09-28,Kristinehamns kommun,Broängen-Södermalm,Lägenhet
Backvägen 13,78.0,4,,1090000,,2023-09-28,Timrå kommun,Forsmon,Villa
"Långvinkelsgatan 18 ""Lillgården""",100.0,3,,3250000,,2023-09-28,Eskilstuna kommun,Grangärdet,Villa
Ekvägen 15,146.0,8,,1195000,,2023-09-28,Ulricehamns kommun,Tvärred,Villa
Snickargatan 3C,86.4,4,5762,4000000,46296,2023-09-28,Västerås kommun,City,Lägenhet
Bön Skogstorpet 1,49.5,3,,440000,,2023-09-28,Eda kommun,Skillingmark,Fritidshus
Holmstensgatan 14,79.0,3,,1750000,,2023-09-28,Borlänge kommun,Borlänge,Villa
Solrosgatan 45,160.0,5,,4195000,,2023-09-28,Västerås kommun,Gryta,Villa
Storgatan 7,41.0,2,1409,2350000,57317,2023-09-28,Södertälje kommun,Södertälje,Lägenhet
Åsögatan 116,40.5,1,1163,5145000,127037,2023-09-28,Stockholms kommun,Katarina,Lägenhet
Buffils Annas väg 24J,43.0,3,,1550000,,2023-09-28,Leksands kommun,Siljansnäs,Fritidshus
Slätten 119,920.0,920,,180000,,2023-09-28,Lilla Edets kommun,Västerlanda,Tomt
Stenbockens gata 111,80.0,3,5539,1300000,16250,2023-09-28,Haninge kommun,Brandbergen,Lägenhet
Sellerigången 14,149.0,6,,2550000,,2023-09-28,Nyköpings kommun,Arnö,Villa
Markörgatan 32B,77.0,3,5630,400000,5195,2023-09-28,Västerviks kommun,Västervik,Lägenhet
Sundsta Torg,32.0,1,804,1675000,52344,2023-09-28,Karlstads kommun,Sundsta,Lägenhet
Killinggränd 9,107.0,4,4695,2400000,22430,2023-09-28,Habo kommun,Bränninge,Lägenhet
Färgaregatan 5,40.6,1,2684,2490000,61330,2023-09-28,Göteborgs kommun,Stampen,Lägenhet
Dackegatan 10A,42.5,"1,5",2814,560000,13176,2023-09-28,Mjölby kommun,Lundby,Lägenhet
Ferlinsgatan 105,98.5,4,5940,1895000,19239,2023-09-28,Uppsala kommun,Uppsala,Lägenhet
P D Lundgrensgatan 3,150.0,5,,1620000,,2023-09-28,Melleruds kommun,Centrala Mellerud,Villa
Vretgatan 39,142.0,5,,2400000,,2023-09-28,Skutskär,Älvboda,Villa
Bergsgatan 5,112.0,4,,1250000,,2023-09-28,Ljusdals kommun,Ljusdal,Villa
Hägerstensvägen 284,131.0,6,,13900000,,2023-09-28,Stockholms kommun,Mälarhöjden,Villa
Köpmanstigen 2,63.0,3,,4495000,,2023-09-28,Haninge kommun,Årsta Havsbad,Villa
Bäverns gränd 24,67.0,2,4093,2395000,35746,2023-09-28,Uppsala kommun,Centrum,Lägenhet
Storfjället C 27,59.0,3,2644,2100000,35593,2023-09-28,Malung-Sälens kommun,Högfjället,Lägenhet
Bygatan 31,88.0,4,5337,4750000,53977,2023-09-28,Solna kommun,Huvudsta,Lägenhet
Gässlingekroksvägen 25,108.5,4,5989,4350000,40092,2023-09-28,Vellinge kommun,Skanör,Lägenhet
Badstrandsvägen 20,82.0,"3,5",3987,6880000,83902,2023-09-28,Stockholms kommun,Kungsholmen - Stora Essingen,Lägenhet
Västervägen 6A,110.0,4,,6250000,,2023-09-28,Sollentuna kommun,Häggvik,Radhus
Svedjevägen 4,109.0,4,,2975000,,2023-09-28,Västerås kommun,Bjurhovda,Villa
Luleågatan 12,150.0,5,,5500000,,2023-09-28,Helsingborgs kommun,Husensjö,Villa
Ellagårdsvägen 94,110.0,4,,5300000,,2023-09-28,Täby kommun,Ella Gård,Radhus
Kungsgatan 19,41.5,1,2651,1575000,37952,2023-09-28,Jönköpings kommun,Torpa,Lägenhet
Torgilsgatan 14B,51.5,2,3369,1450000,28155,2023-09-28,Borås kommun,Norrmalm,Lägenhet
Trädgårdsgatan 20,49.5,2,2345,1250000,25253,2023-09-28,Sala kommun,Centrum,Lägenhet
Östergårdsvägen 5,113.0,6,,8575000,,2023-09-28,Stockholms kommun,Spånga Solhem,Villa
Kårestad Petersborg 1,110.0,6,,2050000,,2023-09-28,,,
"Regeringsgatan 90, vind",80.0,3,3190,9495000,118688,2023-09-28,Stockholms kommun,Vasastan,Lägenhet
Ristomta 34,77.0,4,,3000000,,2023-09-28,Nynäshamns kommun,Sorunda,Villa
Hermelinsgatan 34,70.0,3,,875000,,2023-09-28,Jokkmokks kommun,Centrum,Villa
Bangatan 23B,74.5,3,3905,1095000,14698,2023-09-28,Västerås kommun,Nordanby,Lägenhet
Hertig Karls väg 6A,44.4,1,2474,1400000,31532,2023-09-28,Strängnäs kommun,Centralt,Lägenhet
Lundenvägen 5A,72.0,3,4687,1010000,14028,2023-09-28,Skövde kommun,Skövde,Lägenhet
Nannavägen 25,103.0,5,,5700000,,2023-09-28,Täby kommun,Täby Kyrkby,Radhus
Lindormsgatan 16 lgh 1101,71.0,3,4484,660000,9296,2023-09-28,Borås kommun,Sjöbo,Lägenhet
Värmdövägen 629,30.9,1,2719,1410000,45631,2023-09-28,Nacka kommun,Björknäs,Lägenhet
Alkalievägen 17B,54.5,2,3711,1150000,21101,2023-09-28,Ale kommun,Bohus,Lägenhet
